Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price
"MSI Creator M16 B13VE-682XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4050/16""",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4050,16,No,1899.01
"ASUS TUF Gaming A15 2023 FA507NV-LP041 AMD Ryzen 7 7735HS/16GB/1TB SSD/RTX 4060/15.6""",New,Asus,TUF,AMD Ryzen 7,16,1000,SSD,RTX 4060,15.6,No,1349
"MSI Katana 15 B12VGK-094XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4070/15.6""",New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 4070,15.6,No,1699
"MSI Thin GF63 12VE-009XES Intel Core i5-12450H/16GB/512GB SSD/RTX 4050/15.6""",New,MSI,Thin,Intel Core i5,16,512,SSD,RTX 4050,15.6,No,1099
"MSI Vector GP77 13VG-021XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/17.3""",New,MSI,Vector,Intel Core i7,32,1000,SSD,RTX 4070,17.3,No,2499
"MSI Creator M16 B12UDX-809XES Intel Core i7-12650H/32GB/1TB SSD/RTX 3050/16""",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 3050,16,No,1499.01
"ASUS TUF Gaming A15 2023 FA507XI-LP024 AMD Ryzen 9 7940HS/32GB/512GB SSD/RTX 4070/15.6""",New,Asus,TUF,AMD Ryzen 9,32,512,SSD,RTX 4070,15.6,No,1699.01
"MSI Katana 15 B13VFK-031XES Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/15.6""",New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 4060,15.6,No,1699
"HP Victus 16-d1021ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050Ti/16.1""",New,HP,Victus,Intel Core i7,16,512,SSD,RTX 3050,16.1,No,1199
"MSI Prestige 14H B12UCX-414XES Intel Core i5-12450H/16GB/512GB SSD/RTX 2050/14""",New,MSI,Prestige,Intel Core i5,16,512,SSD,RTX 2050,14,No,999
"HP Victus 15-fa0026ns Intel Core i5-12450H/16GB/512GB SSD/GTX 1650/15.6""",New,HP,Victus,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,999
"HP Victus 15-fa0004ns Intel Core i5-12500H/16GB/512GB SSD/GTX 1650/15.6""",New,HP,Victus,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,1039
"MSI Stealth 16 Studio A13VF-038XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4060,16,No,2449
"MSI Pulse 15 B13VFK-448XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4060/15.6""",New,MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 4060,15.6,No,2399.01
"ASUS TUF Gaming F15 FX506HF-HN004 Intel Core i5-11400H/16GB/512GB SSD/RTX 2050/15.6""",New,Asus,TUF,Intel Core i5,16,512,SSD,RTX 2050,15.6,No,949
"Razer Blade 15 Advanced Model QHD Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/15.6""",New,Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3070,15.6,No,3299.99
"ASUS Vivobook Go E1504FA-BQ204W AMD Ryzen 5 7520U/8GB/512GB SSD/Radeon 610M/15.6""",New,Asus,VivoBook,AMD Ryzen 5,8,512,SSD,610 M,15.6,No,509.99
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",New,Lenovo,IdeaPad,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1399
"Lenovo Legion 5 15ACH6H AMD Ryzen 7 5800H/16GB/512GB SSD/RTX3050Ti/15.6""",New,Lenovo,Legion,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1079.01
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050Ti/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,999
"MSI Pulse GL76 12UEK-828XES Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/17.3""",New,MSI,Pulse,Intel Core i7,32,1000,SSD,RTX 3060,17.3,No,1499
"MSI Raider GE68HX 13VF-045XES Intel Core i9-13950HX/32GB/1TB SSD/RTX 4060/16""",New,MSI,Raider,Intel Core i9,32,1000,SSD,RTX 4060,16,No,2599
"Lenovo Legion 5 15IAH7H Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",New,Lenovo,Legion,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1599
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16 GB/512GB SSD/RTX3050Ti/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1059
"MSI Pulse 15 B13VGK-433XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4070/15.6""",New,MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 4070,15.6,No,2299
MSI Stealth 15 A13VF-028XES Intel Core i7-13620H/32GB/1TB SSD/RTX 4060/15.6'',New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4060,15.6,No,1899
"MSI Vector GP68HX 12VH-009XES Intel Core i9-12900HX/32GB/1TB SSD/RTX 4080/16""",New,MSI,Vector,Intel Core i9,32,1000,SSD,RTX 4080,16,No,2599
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16GB/512GB SSD/RTX3050/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,No,979
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16GB/512GB SSD/RTX3050/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1099
"Lenovo Legion 5 15ITH6H Intel Core i5-11400H/16GB/512GB SSD/RTX3060/15.6""",New,Lenovo,Legion,Intel Core i5,16,512,SSD,RTX 3060,15.6,No,1319.01
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16 GB/512GB SSD/GTX1650/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,GTX 1650,15.6,No,879
"MSI Prestige 14H B12UCX-427XES Intel Core i7-12650H/32GB/1TB SSD/RTX 2050/14""",New,MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 2050,14,No,1359
"ASUS F515EA-EJ1858W Intel Core i7-1165G7/8GB/512GB SSD/15.6""",New,Asus,F515,Intel Core i7,8,512,SSD,GTX 1650,15.6,No,839
"Gigabyte G5 KF-E3ES313SD Intel Core i5-12500H/16GB/512GB SSD/RTX 4060/15.6""",New,Gigabyte,G5,Intel Core i5,16,512,SSD,RTX 4060,15.6,No,1109
"HP ChromeBook 14b-na0017ns AMD Ryzen 3 3250C/8GB/128GB SSD/14""",New,HP,Chromebook,AMD Ryzen 3,8,128,SSD,GTX 1650,14,No,579.01
"Dell Vostro 3510 Intel Core i3-1115G4/8 GB/256GB SSD/15.6""",New,Dell,Vostro,Intel Core i3,8,256,SSD,GTX 1650,15.6,No,599
"Apple Macbook Air Apple M2/8GB/256GB SSD/GPU Octa Core/13.6"" Plata",New,Apple,MacBook Air,Apple M2,8,256,SSD,GTX 1650,13.6,No,1519
"ASUS TUF Gaming A15 2023 FA507NV-LP031W AMD Ryzen 7 7735HS/16GB/512GB SSD/RTX 4060/15.6""",New,Asus,TUF,AMD Ryzen 7,16,512,SSD,RTX 4060,15.6,No,1349
"MSI Thin GF63 12UDX-042XES Intel Core i5-12450H/16GB/512GB SSD/RTX 3050/15.6""",New,MSI,Thin,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,999
"Lenovo Ideapad Gaming 3 Gen 6 Intel Core i5-11320H/16GB/512GB SSD/GTX 1650/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,829.01
"Lenovo Legion 5 15IAH7H Intel Core i7-12700H/16GB/1TB SSD/RTX3060/15.6""",New,Lenovo,Legion,Intel Core i7,16,1000,SSD,RTX 3060,15.6,No,1569.01
"HP 15S-EQ2086NS AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",New,HP,15S,AMD Ryzen 3,8,512,SSD,GTX 1650,15.6,No,479
"HP Essential 255 G8 AMD 3020e/8GB/256GB SSD/15.6""",New,HP,255,AMD 3020e,8,256,SSD,GTX 1650,15.6,No,339
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16 GB/512 GB SSD/GTX 1650/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,GTX 1650,15.6,No,779.01
"ASUS ROG Strix G15 G513RM-HQ012 AMD Ryzen 7 6800H/16GB/1TB SSD/RTX3060/15.6""",Refurbished,Asus,ROG,AMD Ryzen 7,16,1000,SSD,RTX 3060,15.6,No,1899
"Acer Nitro 5 AN515-47-R5K6 AMD Ryzen 5 7535HS/16GB/1TB SSD/RTX 3050Ti/15.6""",New,Acer,Nitro,AMD Ryzen 5,16,1000,SSD,RTX 3050,15.6,No,1199
"Lenovo V15 G2 ITL Intel Core i3-1115G4/8 GB/512 GB SSD/15.6""",New,Lenovo,V15,Intel Core i3,8,512,SSD,GTX 1650,15.6,No,449
"MSI Prestige 16 Studio A13VF-042XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",New,MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 4060,16,No,1999
"MSI Prestige 16 Studio A13VE-045XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4050/16""",New,MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 4050,16,No,1999
"ASUS E410MA-EK1356WS Intel Celeron N4020/4GB/64GB eMMC/14""",New,Asus,E410,Intel Celeron,4,64,eMMC,GTX 1650,14,No,349
"HP OMEN 17-cm2003ns Intel Core i7-13700HX/32GB/1TB SSD/RTX 4060/17.3""",New,HP,Omen,Intel Core i7,32,1000,SSD,RTX 4060,17.3,No,1799
"MSI Stealth 17 Studio A13VG-017ES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/17.3""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,17.3,No,2949
"ASUS Vivobook 17 F1704VA-AU083W Intel Core i5-1335U/16GB/512GB SSD/17.3""",New,Asus,VivoBook,Intel Core i5,16,512,SSD,GTX 1650,17.3,No,899
"HP Victus 16-e1007ns AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050/16.1""",New,HP,Victus,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1099
"MSI Pulse 17 B13VGK-085XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4070/17.3""",New,MSI,Pulse,Intel Core i7,16,1000,SSD,RTX 4070,17.3,No,2099
"ASUS ExpertBook B1500CEAE-EJ3535X Intel Core i7-1165G7/16GB/512GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i7,16,512,SSD,GTX 1650,15.6,No,1049
"Medion Akoya E15301 AMD Ryzen 7 3700U/8 GB/512GB SSD/15.6""",New,Medion,Akoya,AMD Ryzen 7,8,512,SSD,GTX 1650,15.6,No,499
"ASUS Vivobook 14 F1402ZA-EK611W Intel Core i5-1235U/8GB/512GB SSD/14""",New,Asus,VivoBook,Intel Core i5,8,512,SSD,GTX 1650,14,No,719.01
"Razer Blade 15 QHD Intel Core i7-12800H/16GB/1TB SSD/RTX 3060/15.6""",New,Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3060,15.6,No,2799.99
HP Omen 16-b1016ns Intel Core i7-12700H/16GB/1TB SSD/RTX 3060/16.1'',New,HP,Omen,Intel Core i7,16,1000,SSD,RTX 3060,16.1,No,1599
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 7 5800H/16 GB/512GB SSD/RTX3050/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1079.01
"ASUS ZenBook 14 OLED UM3402YA-KM091 AMD Ryzen 5 5625U/16GB/512GB SSD/14""",New,Asus,ZenBook,AMD Ryzen 5,16,512,SSD,RTX 3050,14,No,999
"MSI Bravo 15 B5ED-019XES AMD Ryzen 5 5600H/8GB/512GB SSD/RX 6500M/15.6""",New,MSI,Bravo,AMD Ryzen 5,8,512,SSD,RX 6500M,15.6,No,869
"ASUS TUF Dash F15 FX517ZE-HN050 Intel Core i7-12650H/16GB/512GB SSD/RTX 3050Ti/15.6""",New,Asus,TUF,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,1299
MSI Stealth 15 A13VF-019XES Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/15.6'',New,MSI,Stealth,Intel Core i7,16,1000,SSD,RTX 4060,15.6,No,1799
"MSI Katana GF66 12UE-1202XES Intel Core i7-12650H/16GB/512GB SSD/RTX 3060/15.6""",New,MSI,Katana,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1299
"Acer Nitro 5 AN515-58-7571 Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/15.6""",New,Acer,Nitro,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1499
"MSI Prestige 16 Studio A13VE-046XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4050/16""",New,MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 4050,16,No,1899
"MSI Bravo 15 B5ED-018XES AMD Ryzen 7 5800H/16GB/512GB SSD/RX6500M/15.6""",New,MSI,Bravo,AMD Ryzen 7,16,512,SSD,RX 6500M,15.6,No,999
"ASUS TUF Gaming A15 2023 FA507NU-LP045 AMD Ryzen 7 7735HS/16GB/512GB SSD/RTX 4050/15.6""",New,Asus,TUF,AMD Ryzen 7,16,512,SSD,RTX 4050,15.6,No,1139.01
"HP OMEN 17-cm2006ns Intel Core i7-13700HX/32GB/1TB SSD/RTX 4070/17.3""",New,HP,Omen,Intel Core i7,32,1000,SSD,RTX 4070,17.3,No,1999
"MSI Pulse GL76 12UEK-827XES Intel Core i9-12900H/32GB/1TB SSD/RTX 3060/17.3""",New,MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 3060,17.3,No,1599
"Acer Aspire 5 A515-57-51Q4 Intel Core i5-1235U/8GB/512GB SSD/MX550/15.6""",New,Acer,Aspire,Intel Core i5,8,512,SSD,MX 550,15.6,No,1209.01
"MSI Stealth 14 Studio A13VG-047XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/14""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,14,No,2549.01
"MSI Stealth 16 Studio A13VG-036XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/16""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,16,No,2599.01
"ASUS TUF Gaming F15 FX507ZU4-LP040 Intel Core i7-12700H/16GB/512GB SSD/RTX 4050/15.6""",New,Asus,TUF,Intel Core i7,16,512,SSD,RTX 4050,15.6,No,1519.01
"Acer Nitro 5 AN515-45-R6CN AMD Ryzen 7 5800H/32GB/1TB SSD/RTX 3080/15.6""",New,Acer,Nitro,AMD Ryzen 7,32,1000,SSD,RTX 3080,15.6,No,2299
"Razer Blade 17 QHD 240Hz Intel Core i7-12800H/16GB/1TB SSD/RTX 3060/17.3""",New,Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3060,17.3,No,3099.99
"ASUS TUF Gaming F15 FX507ZV4-LP047 Intel Core i7-12700H/16GB/1TB SSD/RTX 4060/15.6""",New,Asus,TUF,Intel Core i7,16,1000,SSD,RTX 4060,15.6,No,1799
"Acer Nitro 5 AN515-47-R6UV AMD Ryzen 7 7735HS/16GB/1TB SSD/RTX 3050Ti/15.6""",New,Acer,Nitro,AMD Ryzen 7,16,1000,SSD,RTX 3050,15.6,No,1299.01
"ASUS TUF Gaming F15 FX507ZV4-LP004 Intel Core i7-12700H/32GB/1TB SSD/RTX 4060/15.6""",New,Asus,TUF,Intel Core i7,32,1000,SSD,RTX 4060,15.6,No,1999
"MSI Creator Z16 HX Studio B13VFTO-034ES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4060/16"" Táctil",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4060,16,Yes,2729.01
"Medion Erazer Crawler E30 Intel Core i5-12450H/16GB/512GB SSD/RTX 3050 Ti/15.6""",New,Medion,Erazer,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,859
"MSI Pulse 17 B13VFK-072XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4060/17.3""",New,MSI,Pulse,Intel Core i7,16,1000,SSD,RTX 4060,17.3,No,1899
"Lenovo IdeaPad Gaming 3 15ACH6-381 AMD Ryzen 5 5600H/8GB/512GB SSD/RTX3050/15.6"" (PT)",New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,RTX 3050,15.6,No,944.82
"ASUS ROG Strix G16 G614JZ-N3008 Intel Core i7-13650HX/32GB/1TB/RTX 4080/16""",New,Asus,ROG,Intel Core i7,32,1000,,RTX 4080,16,No,2599.01
"LG Ultra PC 17U70Q-P.AA78B Intel Core i7-1260P/16GB/1TB SSD/RTX 3050Ti/17""",New,LG,Ultra,Intel Core i7,16,1000,SSD,RTX 3050,17,No,1999
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16 GB/512GB SSD/RTX3050/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1029.01
"MSI Creator Z16 HX Studio B13VETO-047XES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4050/16"" Táctil",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4050,16,Yes,2499
"ASUS TUF Gaming A17 FA707XI-HX019 AMD Ryzen 9 7940HS/32GB/1TB SSD/RTX 4070/17.3""",New,Asus,TUF,AMD Ryzen 9,32,1000,SSD,RTX 4070,17.3,No,1899.01
HP Victus 16-d1040ns Intel Core i7-12700H/32GB/512GB SSD/RTX 3060/16.1'',New,HP,Victus,Intel Core i7,32,512,SSD,RTX 3060,16.1,No,1499.01
"Asus TUF Gaming A15 FA507RR-HQ008 AMD Ryzen 7 6800H/32GB/1TB SSD/RTX 3070/15.6""",New,Asus,TUF,AMD Ryzen 7,32,1000,SSD,RTX 3070,15.6,No,1889
"ASUS ROG Zephyrus G16 2023 GU603VI-N4006 Intel Core i9-13900H/32GB/1TB SSD/RTX 4070/16""",New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4070,16,No,2599
"HP OMEN 16-n0012ns AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050Ti/16.1""",New,HP,Omen,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1399
"MSI Creator Z17 HX Studio A13VFT-048ES Intel Core i9-13950HX/32GB/1TB SSD/RTX 4060/17"" Táctil",New,MSI,Creator,Intel Core i9,32,1000,SSD,RTX 4060,17,Yes,2979.01
"HP Pavilion Plus 14-eh0008ns Intel Core i7-1255U/16GB/512GB SSD/RTX 2050/14""",New,HP,Pavilion,Intel Core i7,16,512,SSD,RTX 2050,14,No,1729.01
"MSI Raider GE68HX 13VF-046XES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4060/16""",New,MSI,Raider,Intel Core i7,32,1000,SSD,RTX 4060,16,No,2499
"ASUS ROG Strix Scar 16 2023 G634JY-N4013 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4090/16""",New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4090,16,No,3699.01
"MSI Creator M16 B12UDX-688XES Intel Core i7-12650H/16GB/512GB SSD/RTX 3050/16""",New,MSI,Creator,Intel Core i7,16,512,SSD,RTX 3050,16,No,1399
HP Victus 16-d1030ns Intel Core i7-12700H/16GB/1TB SSD/RTX 3050Ti/16.1'',New,HP,Victus,Intel Core i7,16,1000,SSD,RTX 3050,16.1,No,1299.01
"MSI Creator M16 B13VE-680XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4050/16""",New,MSI,Creator,Intel Core i7,16,1000,SSD,RTX 4050,16,No,1749
"ASUS ROG Strix Scar 18 2023 G834JY-N5012 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4090/18""",New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4090,18,No,3699.01
"PcCom Revolt 3060 Intel Core i7-12700H/32GB/500GB SSD/RTX 3060/15.6""",New,PcCom,Revolt,Intel Core i7,32,500,SSD,RTX 3060,15.6,No,1549
"HP OMEN 16-n0009ns AMD Ryzen 7 6800H/16GB/1TB SSD/RTX 3060/16.1""",New,HP,Omen,AMD Ryzen 7,16,1000,SSD,RTX 3060,16.1,No,1699.01
"ASUS TUF Dash F15 FX517ZM-HN002 Intel Core i7-12650H/16GB/512GB SSD/RTX 3060/15.6""",New,Asus,TUF,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1699
"MSI Prestige 16 A12UD-220ES Intel Core i7-1280P/16GB/1TB SSD/RTX 3050Ti/16""",New,MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 3050,16,No,1889
"Medion Erazer Deputy P50 Intel Core i7-13700HX/16GB/1TB SSD/RTX 4060/15.6""",New,Medion,Deputy,Intel Core i7,16,1000,SSD,RTX 4060,15.6,No,1529
"MSI Summit E16 Flip A13VET-083ES Intel Core i7-1360P/32GB/1TB SSD/RTX 4050/16"" Táctil",New,MSI,Summit,Intel Core i7,32,1000,SSD,RTX 4050,16,Yes,2379.01
"ASUS ROG Strix G18 G814JI-N6004 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4070/18""",New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4070,18,No,2659
"MSI Thin GF63 12VE-040ES Intel Core i5-12450H/16GB/512GB SSD/RTX 4050/15.6""",New,MSI,Thin,Intel Core i5,16,512,SSD,RTX 4050,15.6,No,1199
"Gigabyte G5 KF-E3ES313SH Intel Core i5-12500H/16GB/512GB SSD/RTX 4060/15.6""",New,Gigabyte,G5,Intel Core i5,16,512,SSD,RTX 4060,15.6,No,1189.01
"MSI Creator M16 B13UDX-687XES Intel Core i7-13700H/16GB/1TB SSD/RTX 3050/16""",New,MSI,Creator,Intel Core i7,16,1000,SSD,RTX 3050,16,No,1599
"HP Victus 16-e0061ns AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050/16.1""",New,HP,Victus,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1149
"ASUS ROG Strix G17 G713RS-LL008 AMD Ryzen 9 6900HX/32GB/1TB SSD/RTX 3080/17.3""",New,Asus,ROG,AMD Ryzen 9,32,1000,SSD,RTX 3080,17.3,No,2999
"MSI Stealth 16 Studio A13VG-033ES Intel Core i9-13900H/32GB/2TB SSD/RTX 4070/16""",New,MSI,Stealth,Intel Core i9,32,2000,SSD,RTX 4070,16,No,2914.18
"ASUS ROG Zephyrus G16 2023 GU603ZU-N4004 Intel Core i7-12700H/32GB/1TB SSD/RTX 4050/16""",New,Asus,ROG,Intel Core i7,32,1000,SSD,RTX 4050,16,No,1999
"MSI GF63 Thin 11UC-447XES Intel Core i5-11400H/16GB/512GB SSD/RTX 3050/15.6""",New,MSI,Thin,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1049
"ASUS TUF Gaming F15 FX507ZU4-LP003 Intel Core i7-12700H/16GB/1TB SSD/RTX 4050/15.6""",New,Asus,TUF,Intel Core i7,16,1000,SSD,RTX 4050,15.6,No,2049
"LG Ultra PC 17U70Q-P.AD78B Intel Evo Core i7-1260P/32GB/1TB SSD/RTX 3050Ti/17""",New,LG,Ultra,Intel Evo Core i7,32,1000,SSD,RTX 3050,17,No,2199
"ASUS ROG Zephyrus M16 2023 GU604VZ-NM008W Intel Core i9-13900H/32GB/1TB SSD/RTX 4080/16""",New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4080,16,No,3599
"MSI Creator M16 B12VE-685XES Intel Core i7-12650H/32GB/1TB SSD/RTX 4050/16""",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4050,16,No,1699
"ASUS ROG Zephyrus G14 2023 GA402XV-N2028W AMD Ryzen 9 7940HS/32GB/1TB SSD/RTX 4060/14""",New,Asus,ROG,AMD Ryzen 9,32,1000,SSD,RTX 4060,14,No,2499
"MSI Katana GF66 12UC-820XES Intel Core i7-12650H/16GB/512GB SSD/RTX3050/15.6""",New,MSI,Katana,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,1199
